tweet_id	tweet_time	tweet_text	tweet_coordinates	lat_origin	long_origin	uber_estimate
830093865235443713	2017-02-10 11:39:34-05:00	"\ud83d\udea8Party with Mr. Gwinin Dj Self \ud83d\udea8\n2/24 FriDAY Party during CIAA weekend \nHowl at the Moon \ud83c\udf19in\u2026 https://t.co/M7cArlJ20p"	[35.22566042, -80.84187601]	35.22566042	-80.84187601	35.0
830093864610394113	2017-02-10 11:39:34-05:00	"We're #hiring! Read about our latest #job opening here: PCT - https://t.co/EHSTJdmo6N #Healthcare #Charlotte, NC"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830093499282358276	2017-02-10 11:38:07-05:00	"The best day party IN the #TOURNAMENTWEEK view the rest of our line up and get tickets at\u2026 https://t.co/3VfjstXew7"	[35.23149016, -80.84591857]	35.23149016	-80.84591857	35.0
830093310672896001	2017-02-10 11:37:22-05:00	"Love this Place!! (@ Circle G Restaurant in Charlotte, NC) https://t.co/f2dxpsoTWi"	[35.27282953, -80.8898218]	35.27282953	-80.8898218	38.0
830092928668164096	2017-02-10 11:35:51-05:00	"This #job might be a great fit for you: Owner Operators, CDL Class A, Drop &amp; Hook, No Touch, Terminal to... - https://t.co/GniegX9g1S"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830092707611570177	2017-02-10 11:34:58-05:00	"Want to work in #Charlotte, NC? View our latest opening: https://t.co/TZdDiMr4c1 #Clerical #Veterans #Job #Jobs #Hiring"	[35.339215, -80.836902]	35.339215	-80.836902	46.0
830092677609725952	2017-02-10 11:34:51-05:00	"If you're looking for work in #Charlotte, NC, check out this #job: https://t.co/9DwWxtvjKn #Hospitality #Hiring https://t.co/2h4QPenTiS"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830092498613657600	2017-02-10 11:34:08-05:00	"Goodbye Winter, hello Spring! Big changes on the way this weekend - what do you have planned? CLTwx WSOCTV https://t.co/GeV3jRwbOX"	[35.22483977, -80.84079342]	35.22483977	-80.84079342	36.0
830092495551762432	2017-02-10 11:34:07-05:00	"Man throws chairs at judge\u00bb https://t.co/23PsU3SKBz"	[35.22483977, -80.84079342]	35.22483977	-80.84079342	36.0
830092371689893889	2017-02-10 11:33:38-05:00	"Just posted a photo @ Heroes Aren't Hard To Find https://t.co/7jW0Y2IPmx"	[35.21259173, -80.81811079]	35.21259173	-80.81811079	35.0
