tweet_id	tweet_time	tweet_text	tweet_coordinates	lat_origin	long_origin	uber_estimate
834250610702692353	2017-02-21 22:56:59-05:00	"#deconstuction #therainbowchildren #Prince #banishedone #digitalgarden #lyrics #genius\u2026 https://t.co/9ETeywhpw7"	[40.65, -73.95]	40.65	-73.95	63.0
834250639060373505	2017-02-21 22:57:06-05:00	"A few highlights to this evening, Serenaded by this wonderful voice\u2026 https://t.co/2Yws7Mp6f4"	[40.72636, -74.00188]	40.72636	-74.00188	72.0
834250650150137857	2017-02-21 22:57:09-05:00	"Just posted a photo @ 145th Street https://t.co/XRgDIOf7fW"	[40.8236, -73.9438]	40.8236	-73.9438	49.0
834250716344643588	2017-02-21 22:57:25-05:00	"Always has a plan, always on the move! And I wouldn't have it any other way ;) #publicistlife\u2026 https://t.co/5xQi6CEmGN"	[40.76844, -73.98273]	40.76844	-73.98273	74.0
834250751526449153	2017-02-21 22:57:33-05:00	"The art of making Selvage Denim Jeans for taste-makers &amp; Denim-lovers only...\n.\n.\n#selvedge\u2026 https://t.co/dDIJEGzawD"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834250772435128320	2017-02-21 22:57:38-05:00	"Mood https://t.co/BZGBdmxUsD"	[40.654734, -73.958517]	40.654734	-73.958517	62.0
834250777908502528	2017-02-21 22:57:39-05:00	"Last post of night going bed \u270c\ud83c\udffe\ud83d\ude34 @ George Harvy Apartments https://t.co/XCHwyKFyYM"	[40.807689, -73.921952]	40.807689	-73.921952	50.0
834250860624388096	2017-02-21 22:57:59-05:00	"On in 5! @ZoeZiegfeld @ BIZARRE Bushwick https://t.co/YTIfVLuxUR"	[40.69731302, -73.93489401]	40.69731302	-73.93489401	79.0
834250931705409540	2017-02-21 22:58:16-05:00	"Home sick with laryngitis and the flu and he came all the way here\u2026 https://t.co/0fdp9GBmDG"	[40.84166667, -73.9375]	40.84166667	-73.9375	49.0
834250938558799872	2017-02-21 22:58:18-05:00	"I'm SUPER exhausted but just finished recording my next #audiobook \ud83e\udd17\ud83e\udd17\ud83e\udd17Lonnnnng but great day -\u2026 https://t.co/rLQKgKKJNs"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834250982355726337	2017-02-21 22:58:28-05:00	"Just posted a photo @ Leftfield NYC https://t.co/5jTgHfXdkK"	[40.71832858, -73.98915809]	40.71832858	-73.98915809	72.0
834251027008221184	2017-02-21 22:58:39-05:00	"Loved seeing my bigfishbroadway boys last night. @crawdady21 diego1prieto @prestonboyd\u2026 https://t.co/6lMAVzo09x"	[40.75961261, -73.98969668]	40.75961261	-73.98969668	67.0
834251081723080704	2017-02-21 22:58:52-05:00	"Congrats to this guy and the other #Llamas #NYRisingStars #williamsburg #luckycauseismylocal @\u2026 https://t.co/6SwrgDRZ6i"	[40.7188419, -73.99526367]	40.7188419	-73.99526367	68.0
834251128363692033	2017-02-21 22:59:03-05:00	"La Joven promesa de rap en espa\u00f1ol Porta llegar\u00e1 a la Cd de M\u00e9xico   https://t.co/pCsoKxPUZW"	[40.7207559, -74.0007613]	40.7207559	-74.0007613	62.0
834251239856680961	2017-02-21 22:59:29-05:00	"Statue of Liberty @ New York, New York https://t.co/IDlSsJj4Bu"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834251283825573893	2017-02-21 22:59:40-05:00	"Landed in the #usa thanks for all the prayers...#newyork for a couple of days then home bound!\u2026 https://t.co/djVlEjbry5"	[40.64610466, -73.78438205]	40.64610466	-73.78438205	33.0
834251302628687873	2017-02-21 22:59:44-05:00	"I'm at @BoweryCapital in New York, NY https://t.co/v0dsV7X4Iw"	[40.7408175, -73.99339912]	40.7408175	-73.99339912	65.0
834251331548409856	2017-02-21 22:59:51-05:00	"I'm at Bay Ridge in Brooklyn, NY https://t.co/GYYrxRZKAi"	[40.63382181, -74.0152359]	40.63382181	-74.0152359	101.0
834251331628044289	2017-02-21 22:59:51-05:00	"I'm at MTA Subway - Hunts Point Ave (6) - @nyctsubwayscoop in Bronx, NY https://t.co/WuOQ34hSyX"	[40.82093, -73.890524]	40.82093	-73.890524	54.0
