tweet_id	tweet_text	tweet_coordinates	lat_origin	long_origin	uber_estimate	zip_code	eastern_time	hours	weekday	day_hour	Is_Traffic_Related	County	Neighbourhood	Neighbourhood_code	Is_weekend
833207402283536384	If you don't do it, someone else will." #quotestoliveby #wordstoliveby #wordsofwisdom #meu2026 https://t.co/Z9a5B76biq"	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:51:39-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833207492305907712	Black Hair 101  https://t.co/doZCX1uTlB	[40.7207559, -74.0007613]	40.7207559	-74.0007613	68	10013	2017-02-19 01:52:01-05	1	6	145	f	Manhattan	Greenwich Village and Soho	14	1
833207509120716801	SAN BERNADINO CALIFORNIA FIREFIGHTERS ESCAPE WITH THEIR LIVES AFTERu2026 https://t.co/HuZHZnazTX"	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:52:05-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833207531954532354	cuddles and creative brainstorming after an Intense D&amp;D sesh with my beautiful flower wife andu2026 https://t.co/pzCJckHuS1	[40.77064, -73.98579]	40.77064	-73.98579	78	10023	2017-02-19 01:52:10-05	1	6	145	f	Manhattan	Upper West Side	34	1
833207611982020608	I'm at Iguana NYC - @iguananewyork in New York, NY https://t.co/NTiQJ3MwwF	[40.76444439, -73.98317224]	40.76444439	-73.98317224	69	10019	2017-02-19 01:52:29-05	1	6	145	f	Manhattan	Chelsea and Clinton	8	1
833207754814844928	ESTRENO MUNDIAL: @yosoychacka ft @AlbeeAl201 - Dead Body (Video Oficial) by polancgraphs :u2026 https://t.co/PnTxiTnCDM	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:53:03-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833207768005885952	321 East 116th Street, Manhattan https://t.co/uEU4LlpWUl	[40.79683, -73.93662]	40.79683	-73.93662	53	10029	2017-02-19 01:53:06-05	1	6	145	f	Manhattan	East Harlem	9	1
833207877535924225	Last night in NYC with @musiqsoulchild #musiqsoulchild after the #nusoulrevivalu2026 https://t.co/NqB43R11vf	[40.78047, -73.98117]	40.78047	-73.98117	73	10023	2017-02-19 01:53:32-05	1	6	145	f	Manhattan	Upper West Side	34	1
833207893801381888	Sleepover in the city !#equality #nycgayleague u2764ufe0fud83dudc9bud83dudc9aud83dudc99ud83dudc9c @ The Helena https://t.co/ZoT74WiTjO	[40.77070082, -73.9916607]	40.77070082	-73.9916607	77	10019	2017-02-19 01:53:36-05	1	6	145	f	Manhattan	Chelsea and Clinton	8	1
833207923341979649	Word. @ Mary's Fish Camp https://t.co/f15wwxmPBd	[40.73491322, -74.00314601]	40.73491322	-74.00314601	67	10014	2017-02-19 01:53:43-05	1	6	145	f	Manhattan	Greenwich Village and Soho	14	1
833207959257743360	#urbanoasis \n______\n#model #photoshoot #park #35mm #blackandwhite #filmphotography #artu2026 https://t.co/OaZhXsW19S	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:53:52-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833208061930196993	#Love of #Jesus! =) #TeamJesus - In marykayus, while #working, #God first, #family second &amp;u2026 https://t.co/VoSZ8Ya6IJ	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:54:16-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833208072994689024	#Love of #Jesus! =) #TeamJesus - In marykayus, while #working, #God first, #family second &amp;u2026 https://t.co/Or6JJgEIJx	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:54:19-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833208155811217408	Kindred and the family soul also rocked with Musiq Soul Child on the@nurevivaltour I was great.u2026 https://t.co/1RnV729sVc	[40.78047, -73.98117]	40.78047	-73.98117	73	10023	2017-02-19 01:54:39-05	1	6	145	f	Manhattan	Upper West Side	34	1
833208183346835458	Kindred and the family soul tore it down live. @ The Beacon Theatre https://t.co/d7vlPwYy6H	[40.78047, -73.98117]	40.78047	-73.98117	73	10023	2017-02-19 01:54:45-05	1	6	145	f	Manhattan	Upper West Side	34	1
833208263898312704	Happy B-day, Bakha ud83dudc8b\n#Birthday\n#NYC @ New York, New York https://t.co/n6wSm14f6b	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:55:05-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833208290620403712	#RivardTheRiveter #PutARingOnDatCrawdad #DanceDanceDance ud83dudc8b @ Whiskey Town https://t.co/U1Pa9rlW6J	[40.72568347, -73.99021947]	40.72568347	-73.99021947	71	10003	2017-02-19 01:55:11-05	1	6	145	f	Manhattan	Lower East Side	19	1
833208347478339584	There are some people in life who make you laugh a little louder,u2026 https://t.co/rQBjBOZXXm	[40.7372398, -73.9920807]	40.7372398	-73.9920807	60	10003	2017-02-19 01:55:24-05	1	6	145	f	Manhattan	Lower East Side	19	1
833208434824708097	#urbanoasis \n______\n#model #photoshoot #park #35mm #blackandwhite #filmphotography #artu2026 https://t.co/EtzFIKyc9N	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:55:45-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833208463350198274	Of course we find the right bar. #sidebyside #gopies #newyork @ The Australian NYC https://t.co/bR7H3usSTX	[40.75135273, -73.98386119]	40.75135273	-73.98386119	65	10018	2017-02-19 01:55:52-05	1	6	145	f	Manhattan	Chelsea and Clinton	8	1
833208543813591041	Welcome to the 3rd arc of the show !!!!! #HunterxHunter #Toonami	[40.7969395, -73.9432839]	40.7969395	-73.9432839	56	10029	2017-02-19 01:56:11-05	1	6	145	f	Manhattan	East Harlem	9	1
833208575753388032	A04073 [NEW] Authorizes additional days of voting as a result of emergencies; includes state of emergency. https://t.co/6wDQFv65In	[40.77112, -73.97419]	40.77112	-73.97419	77	10019	2017-02-19 01:56:19-05	1	6	145	f	Manhattan	Chelsea and Clinton	8	1
833208631520788481	The F train is stopping here until 5am Tuesday morning (at @nyctsubwayscoop in New York, NY) https://t.co/aGRHzGIdC7	[40.75585086, -73.98779793]	40.75585086	-73.98779793	65	10036	2017-02-19 01:56:32-05	1	6	145	f	Manhattan	Chelsea and Clinton	8	1
833208725909413889	What's happening here. #Polish @ Zablozki's https://t.co/bEdlvdpQSV	[40.71835185, -73.96004231]	40.71835185	-73.96004231	79	11249	2017-02-19 01:56:55-05	1	6	145	f	Brooklyn	Central Brooklyn	5	1
833208831253569536	Juyeeee juyeee tirame una foto como que no me estoy dando cuenta ud83dude02ud83dude02ud83dude02ud83dude02ud83dudcf7\nLista para la cantanciau2026 https://t.co/XQndcWiZcv	[40.7142, -74.0064]	40.7142	-74.0064	64	10007	2017-02-19 01:57:20-05	1	6	145	f	Manhattan	Lower Manhattan	20	1
833208935821799426	I saw the hottest #Selena tattoo tonight ud83dude4cud83cudffc #selenaquintanillaperez #selenaforever #selenafanu2026 https://t.co/ZrODA9zZUQ	[40.7330627, -74.0033112]	40.7330627	-74.0033112	73	10014	2017-02-19 01:57:45-05	1	6	145	f	Manhattan	Greenwich Village and Soho	14	1
